hpso,workflow,time,graph,telescope,nodes,channels,data,pipeline_sets
hpso02b,workflow,11944,prototype,low-adjusted,896,896,False,ICAL_DPrepA
hpso02b,workflow,11944,prototype,low-adjusted,896,896,False,ICAL_DPrepA
hpso02b,workflow,11944,prototype,low-adjusted,896,896,False,ICAL_DPrepA
hpso01,workflow,17314,prototype,low-adjusted,896,896,False,ICAL_DPrepA
hpso02a,workflow,11944,prototype,low-adjusted,896,896,False,ICAL_DPrepA
hpso02a,workflow,11944,prototype,low-adjusted,896,896,False,ICAL_DPrepA
hpso01,workflow,17314,prototype,low-adjusted,896,896,False,ICAL_DPrepA
hpso01,workflow,17314,prototype,low-adjusted,896,896,False,ICAL_DPrepA
hpso02a,workflow,11944,prototype,low-adjusted,896,896,False,ICAL_DPrepA
hpso02b,workflow,11944,prototype,low-adjusted,896,896,False,ICAL_DPrepA
hpso02b,workflow,11944,prototype,low-adjusted,896,896,False,ICAL_DPrepA
hpso02a,workflow,11944,prototype,low-adjusted,896,896,False,ICAL_DPrepA
hpso02a,workflow,11944,prototype,low-adjusted,896,896,False,ICAL_DPrepA
hpso02b,workflow,11944,prototype,low-adjusted,896,896,False,ICAL_DPrepA
hpso02b,workflow,11944,prototype,low-adjusted,896,896,False,ICAL_DPrepA
hpso01,workflow,17314,prototype,low-adjusted,896,896,False,ICAL_DPrepA
hpso01,workflow,17314,prototype,low-adjusted,896,896,False,ICAL_DPrepA
hpso02b,workflow,11944,prototype,low-adjusted,896,896,False,ICAL_DPrepA
hpso02a,workflow,11944,prototype,low-adjusted,896,896,False,ICAL_DPrepA
hpso02a,workflow,11944,prototype,low-adjusted,896,896,False,ICAL_DPrepA
hpso02a,workflow,11944,prototype,low-adjusted,896,896,False,ICAL_DPrepA
hpso02b,workflow,11944,prototype,low-adjusted,896,896,False,ICAL_DPrepA
hpso02a,workflow,11944,prototype,low-adjusted,896,896,False,ICAL_DPrepA
hpso01,workflow,17314,prototype,low-adjusted,896,896,False,ICAL_DPrepA
hpso01,workflow,17314,prototype,low-adjusted,896,896,False,ICAL_DPrepA
hpso01,workflow,17314,prototype,low-adjusted,896,896,False,ICAL_DPrepA
hpso01,workflow,17314,prototype,low-adjusted,896,896,False,ICAL_DPrepA
hpso01,workflow,17314,prototype,low-adjusted,896,896,False,ICAL_DPrepA
hpso02b,workflow,11944,prototype,low-adjusted,896,896,False,ICAL_DPrepA
hpso02a,workflow,11944,prototype,low-adjusted,896,896,False,ICAL_DPrepA
