hpso32,parametric,706,prototype,mid-adjusted,786,786,False
hpso13,parametric,5655,prototype,mid-adjusted,786,786,False
hpso22,parametric,62847,prototype,mid-adjusted,786,786,False
hpso02b,parametric,26732,prototype,low-adjusted,896,896,False
hpso22,parametric,62847,prototype,mid-adjusted,786,786,False
hpso02a,parametric,26732,prototype,low-adjusted,896,896,False
hpso02a,parametric,26732,prototype,low-adjusted,896,896,False
hpso13,parametric,5655,prototype,mid-adjusted,786,786,False
hpso01,parametric,32090,prototype,low-adjusted,896,896,False
hpso32,parametric,706,prototype,mid-adjusted,786,786,False
hpso02b,parametric,26732,prototype,low-adjusted,896,896,False
hpso15,parametric,504,prototype,mid-adjusted,786,786,False
hpso01,parametric,32090,prototype,low-adjusted,896,896,False
hpso15,parametric,504,prototype,mid-adjusted,786,786,False
hpso22,workflow,77742,prototype,mid-adjusted,786,786,no_data,None
hpso22,workflow,492301,prototype,mid-adjusted,786,786,edges,None
hpso13,workflow,23638,prototype,mid-adjusted,786,786,edges,None
hpso02b,workflow,82508,prototype,low-adjusted,896,896,task_edges,None
hpso02b,workflow,27448,prototype,low-adjusted,896,896,no_data,None
hpso02a,workflow,45876,prototype,low-adjusted,896,896,edges,None
hpso01,workflow,101655,prototype,low-adjusted,896,896,edges,None
hpso15,workflow,1548,prototype,mid-adjusted,786,786,edges,None
hpso02a,workflow,27448,prototype,low-adjusted,896,896,no_data,None
hpso01,workflow,167763,prototype,low-adjusted,896,896,task_edges,None
hpso02b,workflow,45876,prototype,low-adjusted,896,896,edges,None
hpso15,workflow,638,prototype,mid-adjusted,786,786,no_data,None
hpso22,workflow,595908,prototype,mid-adjusted,786,786,task_edges,None
hpso01,workflow,33827,prototype,low-adjusted,896,896,no_data,None
hpso02a,workflow,82508,prototype,low-adjusted,896,896,task_edges,None
