hpso,model,time,graph,telescope
hpso01,parametric,32090,base,low-adjusted
hpso02a,parametric,26732,base,low-adjusted
hpso02b,parametric,26732,base,low-adjusted
hpso02a,workflow,26762,base,low-adjusted
hpso02b,parametric,26732,parallel,low-adjusted
hpso02b,workflow,26762,base,low-adjusted
hpso02a,parametric,26732,parallel,low-adjusted
hpso01,workflow,32127,base,low-adjusted
hpso01,parametric,32090,parallel,low-adjusted
hpso02b,workflow,26766,parallel,low-adjusted
hpso22,parametric,62847,base,mid-adjusted
hpso02a,workflow,26766,parallel,low-adjusted
hpso13,parametric,5655,base,mid-adjusted
hpso01,workflow,32133,parallel,low-adjusted
hpso15,parametric,504,base,mid-adjusted
hpso22,workflow,62874,base,mid-adjusted
hpso32,parametric,0,base,mid-adjusted
hpso32,workflow,704,base,mid-adjusted
hpso22,parametric,62847,parallel,mid-adjusted
hpso13,workflow,5657,base,mid-adjusted
hpso13,parametric,5655,parallel,mid-adjusted
hpso15,workflow,500,base,mid-adjusted
hpso15,parametric,504,parallel,mid-adjusted
hpso22,workflow,62886,parallel,mid-adjusted
hpso32,parametric,0,parallel,mid-adjusted
hpso32,workflow,707,parallel,mid-adjusted
hpso13,workflow,5662,parallel,mid-adjusted
hpso15,workflow,507,parallel,mid-adjusted
