hpso,model,time,graph,telescope,channels
hpso01,parametric,32090,parallel,low-adjusted,512
hpso02b,parametric,26732,parallel,low-adjusted,512
hpso02a,parametric,26732,base,low-adjusted,512
hpso02b,parametric,26732,base,low-adjusted,512
hpso01,parametric,32090,base,low-adjusted,512
hpso01,workflow,56237,parallel,low-adjusted,512
hpso02a,parametric,26732,parallel,low-adjusted,512
hpso02b,workflow,46848,parallel,low-adjusted,512
hpso32,parametric,0,base,mid-adjusted,512
hpso32,workflow,1087,base,mid-adjusted,512
hpso13,parametric,5655,base,mid-adjusted,512
hpso02a,workflow,46848,parallel,low-adjusted,512
hpso15,parametric,504,base,mid-adjusted,512
hpso02a,workflow,46850,base,low-adjusted,512
hpso22,parametric,62847,base,mid-adjusted,512
hpso02b,workflow,46850,base,low-adjusted,512
hpso32,parametric,0,parallel,mid-adjusted,512
hpso01,workflow,56241,base,low-adjusted,512
hpso13,parametric,5655,parallel,mid-adjusted,512
hpso32,workflow,1087,parallel,mid-adjusted,512
hpso15,parametric,504,parallel,mid-adjusted,512
hpso13,workflow,8685,base,mid-adjusted,512
hpso22,parametric,62847,parallel,mid-adjusted,512
hpso13,workflow,8691,parallel,mid-adjusted,512
hpso15,parametric,504,parallel,mid-adjusted,512
hpso15,workflow,781,base,mid-adjusted,512
hpso15,workflow,773,parallel,mid-adjusted,512
hpso22,workflow,96535,parallel,mid-adjusted,512
hpso22,workflow,96507,base,mid-adjusted,512
hpso15,workflow,938,parallel,mid-adjusted,512
