hpso02a,parametric,26732,prototype,low-adjusted,896,896,False
hpso02b,parametric,26732,prototype,low-adjusted,896,896,False
hpso13,parametric,5655,prototype,mid-adjusted,786,786,False
hpso01,parametric,32090,prototype,low-adjusted,896,896,False
hpso15,parametric,504,prototype,mid-adjusted,786,786,False
hpso02b,parametric,26732,prototype,low-adjusted,896,896,False
hpso13,parametric,5655,prototype,mid-adjusted,786,786,False
hpso01,parametric,32090,prototype,low-adjusted,896,896,False
hpso22,parametric,62847,prototype,mid-adjusted,786,786,False
hpso15,parametric,504,prototype,mid-adjusted,786,786,False
hpso32,parametric,706,prototype,mid-adjusted,786,786,False
hpso32,parametric,706,prototype,mid-adjusted,786,786,False
hpso22,parametric,62847,prototype,mid-adjusted,786,786,False
hpso02a,parametric,26732,prototype,low-adjusted,896,896,False
hpso22,workflow,595812,prototype,mid-adjusted,786,786,task_edges,None
hpso32,workflow,1655,prototype,mid-adjusted,786,786,task_edges,None
hpso15,workflow,600,prototype,mid-adjusted,786,786,no_data,None
hpso13,workflow,23613,prototype,mid-adjusted,786,786,edges,None
hpso02a,workflow,27466,prototype,low-adjusted,896,896,no_data,None
hpso02b,workflow,83551,prototype,low-adjusted,896,896,task_edges,None
hpso01,workflow,33841,prototype,low-adjusted,896,896,no_data,None
hpso02b,workflow,46232,prototype,low-adjusted,896,896,edges,None
hpso13,workflow,6781,prototype,mid-adjusted,786,786,no_data,None
hpso15,workflow,1770,prototype,mid-adjusted,786,786,task_edges,None
hpso15,workflow,1524,prototype,mid-adjusted,786,786,edges,None
hpso32,workflow,850,prototype,mid-adjusted,786,786,no_data,None
hpso32,workflow,1516,prototype,mid-adjusted,786,786,edges,None
hpso02b,workflow,27466,prototype,low-adjusted,896,896,no_data,None
hpso22,workflow,77722,prototype,mid-adjusted,786,786,no_data,None
hpso01,workflow,102304,prototype,low-adjusted,896,896,edges,None
hpso22,workflow,492178,prototype,mid-adjusted,786,786,edges,None
hpso13,workflow,27340,prototype,mid-adjusted,786,786,task_edges,None
hpso01,workflow,168706,prototype,low-adjusted,896,896,task_edges,None
hpso02a,workflow,83551,prototype,low-adjusted,896,896,task_edges,None
hpso02a,workflow,46232,prototype,low-adjusted,896,896,edges,None
