observation,workflow,ingest_demand,duration,channels,coarse_channels,demand,workflow_type,graph_type,data,data_distribution,nodes,dir,time
hpso01_0,workflows/-4194217703203782120_2024-09-03_20-17-27,8,18000,16384,128,256,['prototype'],DPrepA.DPrepD.DPrepB.ICAL.DPrepC,False,standard,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter4/test_topsim_variations_demand/low,582
hpso01_1,workflows/-4194217703203782120_2024-09-03_20-17-27,8,18000,16384,128,256,['prototype'],DPrepA.DPrepD.DPrepB.ICAL.DPrepC,False,standard,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter4/test_topsim_variations_demand/low,423
hpso01_2,workflows/-4194217703203782120_2024-09-03_20-17-27,8,18000,16384,128,256,['prototype'],DPrepA.DPrepD.DPrepB.ICAL.DPrepC,False,standard,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter4/test_topsim_variations_demand/low,522
hpso01_3,workflows/-4194217703203782120_2024-09-03_20-17-27,8,18000,16384,128,256,['prototype'],DPrepA.DPrepD.DPrepB.ICAL.DPrepC,False,standard,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter4/test_topsim_variations_demand/low,769
hpso01_4,workflows/-4194217703203782120_2024-09-03_20-17-27,8,18000,16384,128,256,['prototype'],DPrepA.DPrepD.DPrepB.ICAL.DPrepC,False,standard,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter4/test_topsim_variations_demand/low,862
hpso02a_5,workflows/899279377687862397_2024-08-31_19-05-08,2,18000,16384,128,128,['prototype'],DPrepA.DPrepD.DPrepB.ICAL.DPrepC,False,standard,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter4/test_topsim_variations_demand/low,71
hpso02a_6,workflows/899279377687862397_2024-08-31_19-05-08,2,18000,16384,128,128,['prototype'],DPrepA.DPrepD.DPrepB.ICAL.DPrepC,False,standard,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter4/test_topsim_variations_demand/low,821
hpso02a_7,workflows/899279377687862397_2024-08-31_19-05-08,2,18000,16384,128,128,['prototype'],DPrepA.DPrepD.DPrepB.ICAL.DPrepC,False,standard,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter4/test_topsim_variations_demand/low,190
hpso02a_8,workflows/899279377687862397_2024-08-31_19-05-08,2,18000,16384,128,128,['prototype'],DPrepA.DPrepD.DPrepB.ICAL.DPrepC,False,standard,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter4/test_topsim_variations_demand/low,998
hpso02a_9,workflows/899279377687862397_2024-08-31_19-05-08,2,18000,16384,128,128,['prototype'],DPrepA.DPrepD.DPrepB.ICAL.DPrepC,False,standard,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter4/test_topsim_variations_demand/low,106
hpso02a_10,workflows/899279377687862397_2024-08-31_19-05-08,2,18000,16384,128,128,['prototype'],DPrepA.DPrepD.DPrepB.ICAL.DPrepC,False,standard,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter4/test_topsim_variations_demand/low,597
