observation,workflow,ingest_demand,duration,channels,coarse_channels,demand,workflow_type,graph_type,data,data_distribution,nodes,dir,telescope,timestep,time
hpso22,workflows/2768866859543975590_2024-11-10_22-02-55,81,28800,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB,False,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,60,1114,heft
hpso32,workflows/-2887030758418618714_2024-11-10_22-05-22,17,7920,65536,796,197,['prototype'],ICAL.DPrepB,False,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,60,78,heft
hpso15,workflows/-5643670302229644219_2024-11-10_22-00-24,12,15840,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepC,False,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,15,146,heft
hpso13,workflows/-6945540424978040141_2024-11-10_21-57-52,30,28800,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepC,False,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,1,216,heft
hpso22,workflows/2768866859543975590_2024-11-10_22-02-55,81,28800,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB,False,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,15,1114,heft
hpso32,workflows/-2887030758418618714_2024-11-10_22-05-22,17,7920,65536,796,197,['prototype'],ICAL.DPrepB,False,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,15,78,heft
hpso15,workflows/-5643670302229644219_2024-11-10_22-00-24,12,15840,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepC,False,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,1,146,heft
hpso22,workflows/2768866859543975590_2024-11-10_22-02-55,81,28800,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB,False,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,1,1114,heft
hpso32,workflows/-2887030758418618714_2024-11-10_22-05-22,17,7920,65536,796,197,['prototype'],ICAL.DPrepB,False,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,1,78,heft
hpso13,workflows/-6945540424978040141_2024-11-10_21-57-52,30,28800,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepC,False,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,30,216,heft
hpso15,workflows/-5643670302229644219_2024-11-10_22-00-24,12,15840,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepC,False,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,30,146,heft
hpso13,workflows/-6945540424978040141_2024-11-10_21-57-52,30,28800,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepC,False,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,5,216,heft
hpso01,workflows/-4798338277640702793_2024-11-10_21-49-39,118,18000,65536,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,True,edges,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,1,2404,heft
hpso22,workflows/2768866859543975590_2024-11-10_22-02-55,81,28800,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB,False,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,30,1114,heft
hpso32,workflows/-2887030758418618714_2024-11-10_22-05-22,17,7920,65536,796,197,['prototype'],ICAL.DPrepB,False,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,30,78,heft
hpso15,workflows/-5643670302229644219_2024-11-10_22-00-24,12,15840,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepC,False,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,5,146,heft
hpso22,workflows/2768866859543975590_2024-11-10_22-02-55,81,28800,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB,False,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,5,1114,heft
hpso13,workflows/-6945540424978040141_2024-11-10_21-57-52,30,28800,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepC,False,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,60,216,heft
hpso32,workflows/-2887030758418618714_2024-11-10_22-05-22,17,7920,65536,796,197,['prototype'],ICAL.DPrepB,False,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,5,78,heft
hpso15,workflows/-5643670302229644219_2024-11-10_22-00-24,12,15840,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepC,False,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,60,146,heft
hpso13,workflows/-6945540424978040141_2024-11-10_21-57-52,30,28800,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepC,False,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,15,216,heft
hpso02a,workflows/8988841495393588671_2024-11-10_21-53-08,59,18000,32768,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,True,edges,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,1,1686,heft
hpso15,workflows/-5643670302229644219_2024-11-10_22-10-30,12,15840,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepC,True,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,1,146,heft
hpso22,workflows/2768866859543975590_2024-11-10_22-13-06,81,28800,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB,True,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,1,2256,heft
hpso32,workflows/-2887030758418618714_2024-11-10_22-15-56,17,7920,65536,796,197,['prototype'],ICAL.DPrepB,True,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,1,78,heft
hpso02a,workflows/8988841495393588671_2024-11-10_21-53-08,59,18000,32768,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,True,edges,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,15,1686,heft
hpso13,workflows/-6945540424978040141_2024-11-10_22-07-45,30,28800,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepC,True,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,5,250,heft
hpso02a,workflows/8988841495393588671_2024-11-10_21-53-08,59,18000,32768,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,True,edges,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,1,1686,heft
hpso15,workflows/-5643670302229644219_2024-11-10_22-10-30,12,15840,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepC,True,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,5,146,heft
hpso22,workflows/2768866859543975590_2024-11-10_22-13-06,81,28800,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB,True,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,5,2256,heft
hpso32,workflows/-2887030758418618714_2024-11-10_22-15-56,17,7920,65536,796,197,['prototype'],ICAL.DPrepB,True,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,5,78,heft
hpso02a,workflows/8988841495393588671_2024-11-10_21-53-08,59,18000,32768,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,True,edges,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,15,1686,heft
hpso13,workflows/-6945540424978040141_2024-11-10_22-07-45,30,28800,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepC,True,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,15,250,heft
