observation,workflow,ingest_demand,duration,channels,coarse_channels,demand,workflow_type,graph_type,data,data_distribution,nodes,dir,telescope,timestep,method,time
hpso02a,workflows/8988841495393588671_2024-11-10_21-38-50,59,18000,32768,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,False,standard,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,15,heft,1928
hpso01,workflows/-4798338277640702793_2024-11-10_21-42-33,118,18000,65536,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,True,standard,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,15,heft,7846
hpso01,workflows/-4798338277640702793_2024-11-10_21-35-13,118,18000,65536,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,False,standard,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,1,heft,33830
hpso02a,workflows/8988841495393588671_2024-11-10_21-38-50,59,18000,32768,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,False,standard,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,60,heft,579
hpso02a,workflows/8988841495393588671_2024-11-10_21-38-50,59,18000,32768,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,False,standard,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,15,heft,1928
hpso02a,workflows/8988841495393588671_2024-11-10_21-45-53,59,18000,32768,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,True,standard,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,15,heft,4399
hpso02a,workflows/8988841495393588671_2024-11-10_21-38-50,59,18000,32768,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,False,standard,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,1,heft,27455
hpso01,workflows/-4798338277640702793_2024-11-10_21-42-33,118,18000,65536,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,True,standard,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,1,heft,116561
hpso02a,workflows/8988841495393588671_2024-11-10_21-45-53,59,18000,32768,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,True,standard,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,15,heft,4399
hpso01,workflows/-4798338277640702793_2024-11-10_21-35-13,118,18000,65536,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,False,standard,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,30,heft,1239
hpso02a,workflows/8988841495393588671_2024-11-10_21-38-50,59,18000,32768,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,False,standard,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,1,heft,27455
hpso02a,workflows/8988841495393588671_2024-11-10_21-45-53,59,18000,32768,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,True,standard,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,1,heft,64868
hpso01,workflows/-4798338277640702793_2024-11-10_21-42-33,118,18000,65536,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,True,standard,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,30,heft,3978
hpso02a,workflows/8988841495393588671_2024-11-10_21-38-50,59,18000,32768,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,False,standard,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,30,heft,1025
hpso01,workflows/-4798338277640702793_2024-11-10_21-35-13,118,18000,65536,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,False,standard,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,5,heft,6841
hpso02a,workflows/8988841495393588671_2024-11-10_21-45-53,59,18000,32768,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,True,standard,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,1,heft,64868
hpso02a,workflows/8988841495393588671_2024-11-10_21-38-50,59,18000,32768,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,False,standard,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,30,heft,1025
